id,title,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,raw_address,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_address,latitude,longitude,subtitle
11572,"Piso en venta en calle Guadalajara, 3",235.0,220.0,4,3.0,"Calle Guadalajara, 3",Calle Guadalajara,3,6,False,Neighborhood 60: Palomas (3773.82 €/m2) - District 9: Hortaleza,sale,2192,730000,3106,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,True,True,False,True,en trámite,True,True,0.0,,,,,"3 Calle Guadalajara, Madrid, Spain",40.3058342,-3.732302,"Palomas, Madrid"
11571,Casa o chalet independiente en venta en Conde Orgaz-Piovera,950.0,,9,9.0,,,,,,Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,sale,-20646385,7800000,8211,HouseType 2: Casa o chalet,False,,,,,False,,,False,True,False,False,False,False,en trámite,False,,,,,,,"Conde Orgaz-Piovera, Madrid, Spain",40.4525621,-3.633062200893884,"Hortaleza, Madrid"
11570,"Piso en venta en calle dulce chacon, 23",55.0,48.0,1,1.0,"Calle dulce chacon, 23",Calle dulce chacon,23,1,False,Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,sale,1182,293000,5327,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,False,True,False,True,E,False,,,False,False,True,False,"23 Calle dulce chacon, Madrid, Spain",40.3823258,-3.4179236,"Virgen del Cortijo - Manoteras, Madrid"
11569,Piso en venta en Pinar del Rey,56.0,,3,1.0,,,,Bajo,True,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,728,146000,2607,HouseType 1: Pisos,True,False,,,,False,False,,False,False,True,False,False,False,en trámite,False,,,,,,,"Pinar del Rey, Madrid, Spain",40.4678284,-3.6486781,"Hortaleza, Madrid"
11568,Piso en venta en Belianes,40.0,,1,1.0,Belianes,Belianes,,Bajo,True,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,512,94000,2350,HouseType 1: Pisos,False,False,1960.0,False,True,True,False,True,False,False,False,True,False,False,en trámite,False,,,False,False,True,True,"Belianes, Madrid, Spain",40.4703199,-3.6455651,"Pinar del Rey, Madrid"
11567,"Piso en venta en calle Barichara, 2",59.0,,3,1.0,"Calle Barichara, 2",Calle Barichara,2,4,False,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,714,142200,2410,HouseType 1: Pisos,False,,,,,False,False,,False,False,True,False,False,False,E,False,,,,,,,"2 Calle Barichara, Madrid, Spain",40.4748517,-3.636056394764268,"Pinar del Rey, Madrid"
11566,Casa o chalet independiente en venta en Conde Orgaz-Piovera,750.0,650.0,6,5.0,,,,,,Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,sale,-313261,3100000,4133,HouseType 2: Casa o chalet,False,False,,,,True,,,True,True,True,True,False,False,en trámite,True,True,0.0,False,False,True,True,"Conde Orgaz-Piovera, Madrid, Spain",40.4525621,-3.633062200893884,"Hortaleza, Madrid"
11565,Piso en venta en calle de Américo Castro,110.0,,3,2.0,Calle de Américo Castro,Calle de Américo Castro,,1,False,Neighborhood 62: Sanchinarro (4456.18 €/m2) - District 9: Hortaleza,sale,1474,415000,3773,HouseType 1: Pisos,False,False,2006.0,False,True,True,True,True,False,True,False,True,True,True,en trámite,True,True,0.0,False,False,False,True,"Calle de Américo Castro, Madrid, Spain",40.4932127,-3.6570584,"Sanchinarro, Madrid"
11564,"Piso en venta en CL BARICHARA, 2",59.0,,3,1.0,"CL BARICHARA, 2",CL BARICHARA,2,4,False,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,773,158000,2678,HouseType 1: Pisos,True,False,1960.0,False,True,False,False,True,False,False,False,False,False,False,E,False,,,False,False,True,False,"2 CL BARICHARA, Madrid, Spain",40.4748517,-3.636056394764268,"Pinar del Rey, Madrid"
11563,Piso en venta en Tribaldos 38,58.0,52.0,2,1.0,Tribaldos 38,Tribaldos 38,,Bajo,True,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,901,195000,3362,HouseType 1: Pisos,False,False,2020.0,False,True,True,True,True,False,False,False,False,True,False,en trámite,False,,,False,True,False,False,"Tribaldos 38, Madrid, Spain",40.4671233,-3.6375677,"Canillas, Madrid"
11562,Chalet adosado en venta en Canillas,80.0,70.0,2,1.0,,,,,,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,1161,285000,3562,HouseType 2: Casa o chalet,False,False,,,,False,,,True,False,False,False,False,False,F,False,,,,,,,"Canillas, Madrid, Spain",40.4637721,-3.6354426,"Hortaleza, Madrid"
11561,Piso en venta en calle Calanda,115.0,,3,1.0,Calle Calanda,Calle Calanda,,1,False,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,1146,279000,2426,HouseType 1: Pisos,False,,1972.0,,,False,,,False,False,False,False,False,False,en trámite,False,,,,,,,"Calle Calanda, Madrid, Spain",40.5483537,-3.6381333,"Canillas, Madrid"
11560,Casa o chalet en venta en Conde Orgaz-Piovera,900.0,849.0,8,8.0,,,,,False,Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,sale,-564667,3500000,3889,HouseType 2: Casa o chalet,False,,,,,False,,,False,False,False,False,False,False,en trámite,False,,,,,,,"Conde Orgaz-Piovera, Madrid, Spain",40.4525621,-3.633062200893884,"Hortaleza, Madrid"
11559,Piso en venta en Canillas,55.0,,2,1.0,,,,3,False,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,773,158000,2873,HouseType 1: Pisos,False,False,1970.0,False,True,True,False,True,False,False,False,False,False,False,D,False,,,False,False,True,False,"Canillas, Madrid, Spain",40.4637721,-3.6354426,"Hortaleza, Madrid"
11558,Piso en venta en Pinar del Rey,85.0,84.0,3,1.0,,,,9,False,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,1187,295000,3471,HouseType 1: Pisos,False,,1972.0,True,False,False,True,True,False,True,False,False,False,True,en trámite,True,True,0.0,,,,,"Pinar del Rey, Madrid, Spain",40.4678284,-3.6486781,"Hortaleza, Madrid"
11557,Piso en venta en Valdebebas - Valdefuentes,190.0,,3,2.0,,,,3,False,Neighborhood 63: Valdebebas - Valdefuentes (3607.13 €/m2) - District 9: Hortaleza,sale,1800,558000,2937,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,True,True,False,False,en trámite,True,True,0.0,False,False,True,False,"Valdebebas - Valdefuentes, Madrid, Spain",40.4859876,-3.6138643,"Hortaleza, Madrid"
11556,Piso en venta en TORQUEMADA,58.0,54.0,2,1.0,TORQUEMADA,TORQUEMADA,,Bajo,True,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,762,155000,2672,HouseType 1: Pisos,False,False,2015.0,False,True,True,True,True,False,False,False,False,True,False,F,False,,,False,True,False,False,"TORQUEMADA, Madrid, Spain",40.468685,-3.638805,"Canillas, Madrid"
11555,Piso en venta en Sanchinarro,125.0,,3,2.0,,,,2,False,Neighborhood 62: Sanchinarro (4456.18 €/m2) - District 9: Hortaleza,sale,1542,445000,3560,HouseType 1: Pisos,False,False,,False,True,False,True,True,False,False,False,True,False,False,en trámite,True,True,0.0,,,,,"Sanchinarro, Madrid, Spain",40.4931887,-3.6564023,"Hortaleza, Madrid"
11554,Dúplex en venta en Virgen del Cortijo - Manoteras,94.0,,1,1.0,,,,3,False,Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,sale,964,215000,2287,HouseType 4: Dúplex,False,False,2009.0,False,True,True,True,True,False,False,False,False,False,False,en trámite,True,False,70.0,,,,,"Virgen del Cortijo - Manoteras, Madrid, Spain",40.4880601,-3.6655856,"Hortaleza, Madrid"
